Main_Activity,Global Problem,Global Problem description,Global_problem_desc_source_links,Subtype_Name,Subtype_Desc,Example
Aged care activities,Ageing,"The overall population of the world is ageing. Although older population contribute greatly to the development of a nation, according to United Nations, many countries are likely to face financial and political pressures in relation to public systems of pensions, healthcare and social protections in the coming decades. Government all over the world need help in providing proper health care and support to the older population.The Australian government is expecting a count of approximately four million people aged between 65 to 84 years by 2022. Hence, the challenge of providing long-term care to the elderly has become very important. ","United Nations,http://www.un.org/en/sections/issues-depth/ageing/,Australian Bureau of Statistics,http://www.abs.gov.au/AUSSTATS/abs@.nsf/Lookup/4102.0Main+Features10March 2009",Nursing homes,"Inpatient convalescent care and residential care, as well as primary health care services; includes homes for the frail elderly and nursing homes for those with significant disabilities",an organisation provides residential care for elderly people who cannot live independently
Animal protection,Species extinction,"There is a substantial and largely irreversible loss in the diversity of life on Earth. According to World Wildlife Fund for Nature, 10 to 30% of the mammal, bird and amphibian species are threatened with extinction worldwide, due to human activities. Australia is facing an extinction crisis. The Australian Wildlife Conservancy said that the country has the worst mammal extinction rate in the world. They further added that 30 native mammals have become extinct since the European settlement. Is this the world we want to leave for our next generation? Many non-profit organizations are working towards educating people and spreading awareness about this cause and they need your help.","World Wildlife Fund for Nature,http://wwf.panda.org/index.cfm?uNewsID=83520,Australian Wildlife Conservancy,http://www.australianwildlife.org/wildlife.aspx",Animal protection and welfare,Includes animal shelters and humane societies,an organisation provides shelter accommodation for lost and surrendered dogs and cats and finds new homes for them
Animal protection,Species extinction,"There is a substantial and largely irreversible loss in the diversity of life on Earth. According to World Wildlife Fund for Nature, 10 to 30% of the mammal, bird and amphibian species are threatened with extinction worldwide, due to human activities. Australia is facing an extinction crisis. The Australian Wildlife Conservancy said that the country has the worst mammal extinction rate in the world. They further added that 30 native mammals have become extinct since the European settlement. Is this the world we want to leave for our next generation? Many non-profit organizations are working towards educating people and spreading awareness about this cause and they need your help.","World Wildlife Fund for Nature,http://wwf.panda.org/index.cfm?uNewsID=83520,Australian Wildlife Conservancy,http://www.australianwildlife.org/wildlife.aspx",Wildlife preservation and protection,Includes sanctuaries and refuges,an organisation provides a sanctuary for injured native animals that are unable to fend for themselves in the wild
Animal protection,Species extinction,"There is a substantial and largely irreversible loss in the diversity of life on Earth. According to World Wildlife Fund for Nature, 10 to 30% of the mammal, bird and amphibian species are threatened with extinction worldwide, due to human activities. Australia is facing an extinction crisis. The Australian Wildlife Conservancy said that the country has the worst mammal extinction rate in the world. They further added that 30 native mammals have become extinct since the European settlement. Is this the world we want to leave for our next generation? Many non-profit organizations are working towards educating people and spreading awareness about this cause and they need your help.","World Wildlife Fund for Nature,http://wwf.panda.org/index.cfm?uNewsID=83520,Australian Wildlife Conservancy,http://www.australianwildlife.org/wildlife.aspx",Veterinary services,Animal hospitals and services providing care to farm and household animals and pets,an organisation provides free and low-cost veterinary services for the pets of people who are in financial need and therefore unable to afford to pay market rates for veterinary care
Civic and advocacy activities,Human rights,"According to the United Nations, ""Human rights are rights inherent to all human beings, regardless of race, sex, nationality, ethnicity, language, religion, or any other status"". According to Human Rights Watch - World Report 2018 -""Indigenous Australians are over-represented in the criminal justice system. Half the prison population has a disability, and inmates face violence, neglect, and extended periods of isolation. Abuses in juvenile detention centers and over-broad counter-terrorism laws persist"". Various non-profit organizations are working to protect basic human rights and provide help to the people affected by human rights violations. They require as many helping hands as possible.","United Nations,http://www.un.org/en/sections/issues-depth/human-rights/,World Report 2018,https://www.hrw.org/world-report/2018/country-chapters/australia",Advocacy organisations,"Organisations that protect the rights and promote the interests of specific groups of people, e.g., people with a disability, the elderly, children and women",an organisation undertakes activities to raise awareness of human trafficking and generate debate about how the community could act to end human trafficking
Civic and advocacy activities,Human rights,"According to the United Nations, ""Human rights are rights inherent to all human beings, regardless of race, sex, nationality, ethnicity, language, religion, or any other status"". According to Human Rights Watch - World Report 2018 -""Indigenous Australians are over-represented in the criminal justice system. Half the prison population has a disability, and inmates face violence, neglect, and extended periods of isolation. Abuses in juvenile detention centers and over-broad counter-terrorism laws persist"". Various non-profit organizations are working to protect basic human rights and provide help to the people affected by human rights violations. They require as many helping hands as possible.","United Nations,http://www.un.org/en/sections/issues-depth/human-rights/,World Report 2018,https://www.hrw.org/world-report/2018/country-chapters/australia",Civil rights associations,Organisations that work to protect or preserve individual civil liberties and human rights,an organisation promotes the right to freedom of speech and draws public attention to instances where this freedom is being curtailed
Civic and advocacy activities,Human rights,"According to the United Nations, ""Human rights are rights inherent to all human beings, regardless of race, sex, nationality, ethnicity, language, religion, or any other status"". According to Human Rights Watch - World Report 2018 -""Indigenous Australians are over-represented in the criminal justice system. Half the prison population has a disability, and inmates face violence, neglect, and extended periods of isolation. Abuses in juvenile detention centers and over-broad counter-terrorism laws persist"". Various non-profit organizations are working to protect basic human rights and provide help to the people affected by human rights violations. They require as many helping hands as possible.","United Nations,http://www.un.org/en/sections/issues-depth/human-rights/,World Report 2018,https://www.hrw.org/world-report/2018/country-chapters/australia",Advancing public debate,"Organisations that promote public debate about a law, or change to a law, that would hinder or promote a charityês charitable purpose",an organisation promotes a change to a State law relating to public transport fines to recognise a wider group of people (people experiencing financial need) who can apply to have the fine waived on the basis of «special circumstancesê
Culture and arts,,,,Promoting Australian Indigenous culture and customs,,a community radio station broadcasts all of its content in a particular Aboriginal language to promote the continued use of the language among its native speakers and their families
Culture and arts,,,,Media and communications,"Production and dissemination of information and communications about culture or art; includes radio and TV stations, publishing of books, journals, newspapers and newsletters, film production and libraries","a monthly newsletter that promotes local community events, local music and educational events.Economic, social and community development"
Culture and arts,,,,"Visual arts, architecture, ceramic art","Production, dissemination and display of visual arts and architecture; includes sculpture, photographic societies, painting, drawing, design centres and architectural associations",an artist-run space held a show presenting contemporary art to the community. Social services
