ABN,Charity_Name,Registration_Status,Address_Line_1,Address_Line_2,Town_City,State,Postcode,Municipality,Charity_Size,BRC,Main_Activity,Animal_Protection,Aged_Care_Activities,Civic_and_advocacy_activities,Culture_and_arts,Economic_social_and_community_development,Emergency_Relief,Employment_and_training,Environmental_activities,Grant_making_activities,Higher_education,Hospital_services_and_rehabilitation_activities,Housing_activities,Income_support_and_maintenance,International_activities,Law_and_legal_services,Mental_health_and_crisis_intervention,Primary_and_secondary_education,Religious_activities,Research,Social_services,Sports,Other_Education,Other_health_service_delivery,Other_recreation_and_social_club_activity,Other_philanthropic_intermediaries_and_voluntarism_promotion,Other_Activity,Other_activity_description,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operates_Overseas,Charity_activities_and_outcomes_helped_achieve_charity_purpose,General_Community_Australia,Females,Males,Early_Childhood_under_6,Children_6___under_15,Youth_15___under_25,Adults_25_to_under_65,Adults___65_and_over,ATSI,GLBTI,Migrants_Refugees_or_Asylum_Seekers,Other_charities,Other_beneficiaries_not_listed,Other_beneficiaries_description,Overseas_communities_or_charities,People_in_rural_regional_remote_communities,Families,Financially_disadvantaged_people,People_at_risk_of_homelessness,People_with_Chronic_or_Terminal_Illness,People_with_Disabilities,Pre_or_Post_Release_Offenders_and_Families,Unemployed_Persons,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Culturally_and_Linguistically_Diverse,Provided_support_services_funded_by_NDIS,Intend_provide_support_funded_by_NDIS,Staff_Full_time,Staff_Part_time,Staff_Casual,Staff_Volunteers,Government_grants,Donations_and_bequests,All_other_revenue,Total_revenue,Other_income,Total_gross_income,Employee_expenses,Interest_expenses,Grants_and_donations_made_for_use_in_Australia,All_other_expenses,Total_expenses,Net_surplus_deficit,Total_current_assets,Non_current_loans,Other_non_current_assets,Total_non_current_assets,Total_assets,Total_current_liabilities,Non_current_liabilities,Other_non_current_liabilities,Total_non_current_liabilities,Total_liabilities,Net_assets_liabilities,Other_Comprehensive_Income__if_applicable_,Total_Comprehensive_Income,DGR_Status,Website
11004285956,Nurses Memorial Centre,REG,Suite 11 Fawkner Towers,431 St Kilda Road,Melbourne,VIC,3004,Melbourne,Medium,N,Higher education,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,,N,N,N,N,N,N,Y,N,N,The Centre continues to focus on providing scholarships to persons in the nursing profession to pursue higher education and monitors their progress periodically. This honours the objective of the Centre being a living memorial to Australian Nurses,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Nursing professionals,N,N,N,N,N,N,N,N,N,Y,N,N,N,,,0,1,0,15,0,143151,128064,271215,-128212,143003,31321,0,132500,73191,237012,-94009,758828,0,0,2100272,2859100,34579,0,0,0,34579,2824521,0,-94009,N,http://www.nursesmemorialcentre.org.au
11083080403,Volunteer Fire Brigades Victoria Inc,REG,9/24 Lakeside Drive,,Burwood East,VIC,3151,Whitehorse,Large,N,Civic and advocacy activities,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"The principal activities of the Association during the financial year were: 1. To function as a non-profit association whose Members comprise Volunteer Fire Brigades registered by the Country Fire Authority under the Country Fire Authority Act (1958) and its Regulations. 2. To liaise and consult on the operation of the 'Volunteer Charter' in the interests of CFA volunteers about all matters which might reasonably be expected to affect them. The Volunteer Charter is an agreed tripartite commitment between the State of Victoria, the CFA, and CFA Volunteers, committing the State of Victoria and the CFA to consultation with volunteers about all matters which might reasonably be expected to affect volunteers. VBFV represents its Members and CFA Volunteers in that consultation process. 3. To assist in maintaining high morale, ongoing health and welfare of CFA volunteer members and their families 4. Support CFA volunteers experiencing personal financial hardship/crisis by providing small welfare grants that may assist in alleviating stresses impacting on the individual's ability to maintain their involvement as a volunteer. 5. Preserve and strengthen CFA's community and volunteer based foundations by enabling members of CFA brigades to consider and bring to the notice of CFA all matters affecting their welfare and efficiency (other than questions of discipline and promotion). 6. To promote to CFA volunteers the comprehensive support services available to them including but not limited to: legal assistance, OH&S, equity and diversity, counselling and welfare, training, employment support and compensation for accidents, injuries and illness.7. To develop awareness, respect and support for CFA volunteers and their fundamental and pivotal role in the CFA as a community based, volunteer based fire and emergency service for the people of Victoria.  8. To take any other action as determined by the Association Board consistent with these purposes.9. To maintain and pursue a balanced focus on issues affecting CFA volunteers across all brigades from all risk profiles.",N,N,N,N,N,N,N,N,N,N,N,N,Y,Emergency Services Volunteers,N,N,N,N,N,N,N,N,N,N,N,N,N,,,12,0,6,2500,1814747,70163,219297,2104207,0,2104207,1158531,0,500,804409,1963440,140767,972086,0,2454092,2454092,3426178,1078668,0,14018,14018,1092686,2333492,0,140767,N,http://www.vfbv.com.au
11091816085,Friends Of The Helmeted Honeyeater Inc,REG,1217 Macclesfield Rd,,Woori Yallock,VIC,3139,Yarra Ranges,Small,N,Environmental activities,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,Y,N,,N,N,N,N,N,N,Y,N,N,"FOHH are a volunteer-based NFP group dedicated to conservating the Helmeted Honeyeater bird and other threatened species through habitat conservation and rehabilitation. Our activities are funded through the propogation and sale of indigenous plants from our nursery, grants from various entities, donations and membership. Due to the scale of our activities, we employ nursery staff, a Coordinator of our education/revegetation program and a Coordinator of our volunteers that are funded through our income stream.  We have a community education program and undertake scientific research support for the Helmeted Honeyeater - Victoria's Bird Emblem.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,3,1,83,152198,10885,34448,197531,0,197531,108898,0,2539,39658,151095,46436,0,0,0,0,192940,0,0,0,0,67295,125645,0,0,N,http://www.helmetedhoneyeater.org.au
11129790467,Doxa Social Club Incorporated,REG,Ground Floor,355 Spencer Street,West Melbourne,VIC,3003,Melbourne,Large,N,Other philanthropic,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Social Club,N,N,N,N,N,N,Y,N,N,"Doxa Social Club donated the majority of its profit generated through its trading activities to the Doxa Youth Foundation(DYF), a charity that is engaged in providing assistance to disadvantage young people.  DYF's purpose is to share knowledge, skills and experiences with disadvantaged young people, empowering them to realize their full potential.  DYF supports over 5000 Victorians through its numerous programs it runs every year.",N,N,N,N,Y,Y,N,N,Y,N,N,N,N,,N,N,N,Y,N,N,N,N,N,N,N,N,N,,,21,4,24,0,0,0,16918888,16918888,0,16918888,2821825,243415,3000000,10214199,16279439,639449,4578210,0,14240378,14240378,18818588,2819463,4028027,256588,4284615,7104078,11714510,0,639449,N,https://www.doxaclub.com.au
11141476364,Bundoora Extended Care Centre Preston Auxiliary,REG,Bundoora Extended Care Centre,1231 PLenty Road,Bundoora,VIC,3083,Whittlesea,Small,N,Hospital services and rehabilitation activities,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,To raise money to assist the purchase of equipment for rehabilitation of patients with various illnesses,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,8,0,262,0,262,21202,21464,0,0,24685,6515,31200,-9736,0,0,0,0,43181,0,0,0,0,31200,11981,0,0,Y,
11165256436,The Legacy Foundation Of Victoria Inc,REG,"Legacy House, 293 Swanston Street Walk",PO Box 4312,Melbourne,VIC,3001,Melbourne,Small,N,Primary and secondary education,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,Y,"Assistance to Aged, students and disabled.",N,Y,N,N,N,N,Y,N,N,Financial grants provided from a donation received to assist needy people.,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,N,N,N,N,Y,Y,Y,N,N,Y,N,N,N,N,D,0,0,0,18,0,115,3054,3169,0,3169,0,0,25807,650,26457,-23288,0,0,0,0,116987,0,0,0,0,0,116987,0,0,Y,http://www.legacy.com.au/melbourne
11210172815,Hanmaum Korean Presbyterian Church Inc,REG,902A Burke Road,,Canterbury,VIC,3126,Boroondara,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,Korean language based Christian fellowships,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,Y,,,1,0,0,50,0,149988,0,149988,0,149988,66933,0,3200,47986,118119,31869,0,0,0,0,85144,0,0,0,0,27660,57484,0,0,N,
11261294621,Box Hill Community Information And Support Inc,REG,"Suite 1, 27 Bank St",Town Hall Hub,Box Hill,VIC,3128,Whitehorse,Small,N,Social services,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"Box Hill Community Information and Support Inc provides a free confidential information and referral service to the general community for health, housing, employment, finance, legal and general matters. We treat all our clients with equal respect and in complete confidence regardless of culture, religion, gender and age. We relieve poverty by providing fresh food, groceries and emergency relief to eligible residents in City of Whitehorse who cannot afford basic food, pharmaceuticals, transport or utility bills. Community members can access information and assistance on family and personal matters, social and welfare services, health services, housing and accommodation, consumer affairs, political and civic matters, financial matters, voluntary work and general information.",N,N,N,N,N,N,N,N,N,N,Y,N,Y,"Information services for General community,Anyone on low income needing material aid.",N,N,N,Y,Y,N,N,N,Y,N,N,N,N,,,0,0,0,25,48483,17750,27973,94206,1236,95442,0,0,64675,18904,83579,11863,0,0,0,0,92044,0,0,0,0,850,91194,0,0,Y,http://www.boxhillcis.org.au/
11301552846,Victoria's Heritage Restoration Fund Inc,REG,6 Parliament Place,,East Melbourne,VIC,3002,Melbourne,Small,N,Housing activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,Heritage restoration projects,N,N,N,N,N,N,Y,N,N,Grants to heritage property owners helped fund restoration projects on buildings of historic significance.,Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,0,105000,0,48435,153435,0,153435,0,0,1345752,181543,1527295,-1373860,0,0,0,0,1602967,0,0,0,0,0,1602967,0,0,N,http://www.vhrf.com.au
11538514248,Iglesia De La Profecia Nueva Rosa De Saron Inc,REG,2 Pinnaroo Crescent,,Burnside,VIC,3023,Brimbank,Small,N,Religious activities,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,N,N,"The church works to promote love, peace, unity, giving and helping within the community as well as focusing on promoting family, youth, children's well being and togetherness.  It also provides activities to help the church communicate and interact with other local churches to encourage culture and community unity.  Where possible it provides financial and emotional support to all members and community members in need of support in any given circumstance to help them through their hardship.  The church conducts weekly church services, prayers, band practice and musical training, youth group and meetings, as well as community meetings and gathering.  These are all open to the wider community and those in need of support and assistance.  The church has been providing the above services for the last thirty years throughout Melbourne being primarily based in the western suburbs and focused largely on the Spanish community.  However anyone is welcome to join and attend and there is English translation at all events and programs. The church is currently based at 6-8 Henderson Street, North Sunshine, Victoria 3020 and have been since 2009.",Y,N,N,N,N,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,,,0,0,0,35,0,45133,0,45133,0,45133,0,0,1800,28430,30230,14903,0,0,0,0,420954,0,0,0,0,154300,266654,0,0,N,
